fechas,Cripto,prices2,market_caps2,total_volumes2,Open,High,Low,Close,Ranking,Body_Ratio,Clasificación,Daily_Return
2022-11-20,bitcoin,16712.729525794817,321151208473.7581,10844466289.901127,16700.68,16753.33,16180.0,16280.23,1,0.7333472869028299,Fuerte Dirección Bajista,-0.025175621591456254
2022-11-21,bitcoin,16304.07685562355,313370674122.3842,15680401749.958439,16279.5,16319.0,15476.0,15781.29,1,0.5909964412811377,Fuerte Volatilidad,-0.03064698717401404
2022-11-22,bitcoin,15814.335280855257,303834128504.1595,31057277097.34788,15781.29,16315.0,15616.63,16226.94,1,0.6381287856007548,Fuerte Volatilidad,0.028239136344367255
2022-11-23,bitcoin,16171.628978315088,311463297390.4882,25091849198.571053,16227.96,16706.0,16160.2,16603.11,1,0.687339684866255,Fuerte Volatilidad,0.023181819862524877
2022-11-24,bitcoin,16608.00998544357,319494112507.07404,26858079944.170044,16603.11,16812.63,16458.05,16598.95,1,0.011732190196852146,Indecisión,-0.00025055546822250196
2022-11-25,bitcoin,16596.03575847268,318949911014.53784,20949512927.386944,16599.55,16666.0,16342.81,16522.14,1,0.2395185494600691,Indecisión,-0.004627401130794517
2022-11-26,bitcoin,16524.449007720887,317919884011.3825,18933018587.76629,16521.35,16701.99,16385.0,16458.57,1,0.19805041168490653,Indecisión,-0.0038475645406708114
2022-11-27,bitcoin,16456.156062496684,316206865319.883,18243019109.753235,16457.61,16600.0,16401.0,16428.78,1,0.14487437185930527,Indecisión,-0.0018099992891241756
2022-11-28,bitcoin,16459.149543755877,316487666895.4407,16551822516.185429,16428.77,16487.04,15995.27,16212.91,1,0.43894503528072143,Fuerte Volatilidad,-0.013139746225830473
2022-11-29,bitcoin,16222.210728731225,311810991501.448,24566056814.212288,16212.18,16548.71,16100.0,16442.53,1,0.5133605223863943,Fuerte Volatilidad,0.014162787556336154
2022-11-30,bitcoin,16441.979978419113,316170903326.0224,24663035431.352062,16442.91,17249.0,16428.3,17163.64,1,0.8781893505544035,Fuerte Dirección Alcista,0.0438563894972368
2022-12-01,bitcoin,17186.502572066118,330763402606.7043,30676053555.32337,17165.53,17324.0,16855.01,16977.37,1,0.4012025842768486,Fuerte Volatilidad,-0.010852593039704872
2022-12-02,bitcoin,16972.73406077455,326141917292.63745,23319572025.36399,16978.0,17105.73,16787.85,17092.74,1,0.36095381905121815,Fuerte Volatilidad,0.0067955166200655
2022-12-03,bitcoin,17084.87334047068,328178365692.1309,20945433171.615204,17092.13,17188.98,16858.74,16885.2,1,0.6266048934108575,Fuerte Volatilidad,-0.01214199712860553
2022-12-04,bitcoin,16923.38287008033,326498242602.6305,16931408153.950111,16885.2,17202.84,16878.25,17105.7,1,0.6793185249083457,Fuerte Volatilidad,0.013058773363655796
2022-12-05,bitcoin,17149.93175096291,329544949093.6664,18214353301.13762,17106.65,17424.25,16867.0,16966.35,1,0.25177209510992,Indecisión,-0.00814640733790506
2022-12-06,bitcoin,16973.372577553495,326635737516.3175,23204017213.929634,16966.35,17107.01,16906.37,17088.96,1,0.6110944976076602,Fuerte Volatilidad,0.007226657471996134
2022-12-07,bitcoin,17085.64314125141,328108161816.87274,21026126511.19885,17088.96,17142.21,16678.83,16836.64,1,0.5445206957572644,Fuerte Volatilidad,-0.014765088103664614
2022-12-08,bitcoin,16851.30346863184,324178677956.7833,21192130005.603653,16836.64,17299.0,16733.49,17224.1,1,0.6851514562076714,Fuerte Volatilidad,0.023012905187733468
2022-12-09,bitcoin,17235.014157992136,331389860355.59094,22674029585.253864,17224.1,17360.0,17058.21,17128.56,1,0.3165777527419628,Fuerte Volatilidad,-0.005546879082216072
2022-12-10,bitcoin,17149.824203925327,329756788298.6587,23179829829.170135,17128.56,17227.72,17092.0,17127.49,1,0.007883878573531533,Indecisión,-6.246876561721848e-05
2022-12-11,bitcoin,17125.364927688952,329283186564.5152,14234368489.844261,17127.49,17270.99,17071.0,17085.05,1,0.21221061053053647,Indecisión,-0.0024778878866665854
2022-12-12,bitcoin,17101.038019732932,328868814164.99066,15681124918.738192,17085.05,17241.89,16871.85,17209.83,1,0.337206788455308,Fuerte Volatilidad,0.0073034612131659404
2022-12-13,bitcoin,17179.596038203494,330715694645.24335,21633829199.489113,17208.93,18000.0,17080.14,17774.7,1,0.6150609875415824,Fuerte Volatilidad,0.03282252061757718
2022-12-14,bitcoin,17784.162894053265,342102502914.68976,28941242217.591747,17775.82,18387.95,17660.94,17803.15,1,0.03759233022929763,Indecisión,0.0016005896020749866
