,Cripto,fechas,pricesnew,market_capsnew,total_volumesnew
226,bitcoin,2023-03-30,28394.997780199057,548808373530.0567,21097595427.489532
227,bitcoin,2023-03-31,28041.123080088284,542369769760.28796,22702531379.35043
228,bitcoin,2023-04-01,28516.784729688636,551707238559.8757,19112345639.962193
229,bitcoin,2023-04-02,28498.94463304862,550949831049.3949,10085380788.870918
230,bitcoin,2023-04-03,28236.508738939792,545181408318.2205,11682876586.814528
231,bitcoin,2023-04-04,27815.42653124798,539350908801.9282,19711493345.476036
232,bitcoin,2023-04-05,28175.33033421539,544313567953.4008,14871614372.831093
233,bitcoin,2023-04-06,28197.20034124555,545409754928.52686,16507617903.813946
234,bitcoin,2023-04-07,28042.9833864884,542601176317.4441,13079528995.139923
235,bitcoin,2023-04-08,27934.43871284895,540432353743.3232,10141276803.893911
236,bitcoin,2023-04-09,27968.12804705512,541094458101.44714,8844199146.1801
237,bitcoin,2023-04-10,28351.23699385011,548568597244.1978,11429030269.731691
238,bitcoin,2023-04-11,29657.974136873556,574059578670.3654,17475381731.251884
239,bitcoin,2023-04-12,30260.93610940865,585359301945.2595,18320296514.777645
240,bitcoin,2023-04-13,29904.138694718906,578850627447.6105,18407698928.06657
241,bitcoin,2023-04-14,30405.027312781145,587939018759.4221,16404033694.47376
242,bitcoin,2023-04-15,30468.40870059078,589051372432.549,20984067684.216217
243,bitcoin,2023-04-16,30312.16187965924,586969785778.0928,11028264273.146706
244,bitcoin,2023-04-17,30304.807514785844,586268225587.8677,11188035367.077023
245,bitcoin,2023-04-18,29467.459829260344,569958059900.5195,16771824487.579357
246,bitcoin,2023-04-19,30365.904167541412,587730212230.9563,18078539248.52104
247,bitcoin,2023-04-20,28833.217501221105,558796473890.5958,24136616861.636356
248,bitcoin,2023-04-21,28255.57824866478,546141074655.3764,21695904964.799046
249,bitcoin,2023-04-22,27300.157128515566,528357279464.0127,20420333533.71415
250,bitcoin,2023-04-23,27861.640663476548,539454716829.9368,11700230849.968126
251,bitcoin,2023-04-24,27606.578347653143,533753154140.2553,11435645306.771605
252,bitcoin,2023-04-25,27511.635682161308,532290845181.53394,16443099944.64734
253,bitcoin,2023-04-26,28351.218248373007,548359667398.65234,17061823985.865345
254,bitcoin,2023-04-27,28352.19132059668,548638734338.36755,30540034741.28477
255,bitcoin,2023-04-28,29483.52170499186,570258039118.5771,26238597379.49954
256,bitcoin,2023-04-29,29339.99499754935,568153896404.9741,18730801539.181553
257,bitcoin,2023-04-30,29217.944046809913,565714356650.6621,9711415138.827158
258,bitcoin,2023-05-01,29362.056213625394,568513467268.4124,14707008604.647
259,bitcoin,2023-05-02,28125.501155636823,544421676291.20087,19980169281.008976
260,bitcoin,2023-05-03,28654.390133326717,554886795897.9369,17699097406.188805
261,bitcoin,2023-05-04,28988.320996249273,561312171794.5802,19944381490.560024
262,bitcoin,2023-05-05,28846.461458608057,558634329303.2208,12676760580.080193
263,bitcoin,2023-05-06,29520.322268970496,571520224182.8824,4971523630.54862
264,bitcoin,2023-05-07,28887.741045523366,559078681902.6073,6463808309.438925
265,bitcoin,2023-05-08,28611.439197614574,554373015261.6681,10199066943.170338
266,bitcoin,2023-05-09,27696.76078562556,536032086472.038,21535578788.860283
267,bitcoin,2023-05-10,27607.39168091902,535037100026.6903,8876813250.933558
268,bitcoin,2023-05-11,27639.73356593586,534937464538.75824,17159331951.189877
269,bitcoin,2023-05-12,27024.76572929978,523414877659.3074,7754296234.077171
270,bitcoin,2023-05-13,26787.69039591833,518816444750.7709,9157286238.193073
271,bitcoin,2023-05-14,26798.126271474703,520426027097.3362,8365379054.202115
272,bitcoin,2023-05-15,26911.805273213893,521319019334.69617,6019488454.419681
273,bitcoin,2023-05-16,27227.793422558792,527655229433.8867,14570026781.747086
